timestamp,simple-path,time
"2022-05-22 20:13:35.037","/master/welcome",5715
"2022-05-22 20:13:35.627","/master/welcome",510
"2022-05-22 20:13:38.428","/master/sign-in",2736
"2022-05-22 20:13:39.717","/master/welcome",576
"2022-05-22 20:13:41.509","/inventor/patronages/list-mine",1633
"2022-05-22 20:13:43.64","/inventor/patronages/show",1624
"2022-05-22 20:13:45.434","/inventor/patronages/list-mine",575
"2022-05-22 20:13:46.516","/inventor/patronages/show",569
"2022-05-22 20:13:47.664","/master/welcome",367
"2022-05-22 20:13:48.277","/master/welcome",560
"2022-05-22 20:13:50.747","/master/welcome",380
"2022-05-22 20:13:51.163","/master/welcome",384
"2022-05-22 20:13:51.78","/master/sign-in",555
"2022-05-22 20:13:53.103","/master/welcome",577
"2022-05-22 20:13:53.845","/inventor/patronages/list-mine",568
"2022-05-22 20:13:54.904","/inventor/patronages/show",571
"2022-05-22 20:13:59.361","/master/welcome",365
"2022-05-22 20:13:59.993","/master/welcome",563
